question_id,attempt_id,correct,input_tokens,output_tokens,reasoning_tokens,earned
12155_1,0,False,609732,9720,0,0.0
13066_1,0,True,2067215,18691,0,2000.0
14127,0,False,441395,7752,0,0.0
14223_1,0,False,788570,11191,0,0.0
14268,0,False,1970417,22356,0,0.0
14294,0,False,16044,604,0,0.0
14340,0,True,919580,11893,0,4000.0
14857,0,True,312961,5978,0,4000.0
14958,0,False,1084363,12139,0,0.0
15108,0,False,2620643,11687,0,0.0
15193,0,False,2335176,15299,0,0.0
15289_1,0,True,2641290,21865,0,8000.0
15321,0,True,1382897,15689,0,2000.0
15815_1,0,False,65219,2141,0,0.0
15925,0,False,104249,1986,0,0.0
16912_4,0,False,1258782,12973,0,0.0
16921_1,0,True,2444303,19756,0,4000.0
17387_1,0,True,4348339,26471,0,4000.0
18157_893,0,False,1091257,12769,0,0.0
18207_923,0,False,1926675,19748,0,0.0
18230_905,0,False,1452962,10820,0,0.0
18641_837,0,True,1014729,16709,0,1000.0
18647_838,0,False,3724531,20994,0,0.0
18659_831,0,True,1843347,19791,0,1000.0
18660_869,0,True,1599063,15511,0,1000.0
18746_833,0,False,1208283,12203,0,0.0
18827_741,0,True,137084,4748,0,1000.0
18891_881,0,False,1594905,11143,0,0.0
18909_734,0,False,1415747,13992,0,0.0
18910_733,0,True,2486862,22604,0,1000.0
19022_888,0,True,374264,5046,0,1000.0
19023_868,0,True,311779,8174,0,1000.0
19132_872,0,False,1047176,12449,0,0.0
19135_873,0,True,864287,7392,0,1000.0
19362_850,0,True,737320,12104,0,1000.0
19398_889,0,True,3014943,22273,0,1000.0
20079,0,False,271908,5570,0,0.0
20569_1122,0,True,886282,11978,0,1000.0
20672_1019,0,False,294140,5425,0,0.0
20703_962,0,True,1244327,10571,0,1000.0
22624,0,True,229450,3804,0,2000.0
24145_783,0,False,2501247,19506,0,0.0
24508_791,0,False,39847,3679,0,0.0
25570_780,0,True,1885643,21122,0,1000.0
25640_655,0,False,3473861,21183,0,0.0
25901_945,0,False,460155,6296,0,0.0
26161_924,0,False,1542738,13940,0,0.0
26228_719,0,True,1433302,13168,0,1000.0
26258_492,0,False,1230813,14016,0,0.0
26648_972,0,False,1231222,14672,0,0.0
27029_876,0,False,189469,6653,0,0.0
27156_665,0,False,774783,10236,0,0.0
27226_729,0,True,824970,17257,0,500.0
27243_705,0,False,2301484,14029,0,0.0
27353_776,0,False,98772,1260,0,0.0
27363_760,0,True,3066415,25665,0,500.0
27538_794,0,True,1350982,15579,0,500.0
28030_832,0,False,2132368,7224,0,0.0
28059_803,0,True,748275,13555,0,500.0
28077_782,0,True,1792878,20919,0,500.0
28087_800,0,False,609983,6235,0,0.0
28093_799,0,True,519131,6297,0,500.0
28096_836,0,True,47078,2141,0,500.0
28148_414,0,True,1123049,11650,0,500.0
28153_817,0,True,617674,6081,0,500.0
28250_990,0,True,255629,6768,0,500.0
28265_616,0,False,1477176,17811,0,0.0
28324_808,0,False,354076,3096,0,0.0
28515_774,0,False,1503754,17210,0,0.0
28553_509,0,True,791145,11606,0,500.0
28565_1001,0,True,1024791,10284,0,500.0
28660_787,0,False,2326475,30164,0,0.0
28663_630,0,False,501434,7307,0,0.0
28806_750,0,True,377237,11980,0,500.0
28943_641,0,True,692852,6780,0,500.0
29001_615,0,True,1106438,8925,0,500.0
29159_628,0,False,1607470,11593,0,0.0
29163_589,0,False,4033187,27086,0,0.0
29178_405,0,True,411848,4931,0,500.0
29187_639,0,False,256196,4874,0,0.0
29222_720,0,False,3443653,23998,0,0.0
29318_1003,0,True,1666034,18062,0,500.0
29433_762,0,False,303310,5241,0,0.0
29598_896,0,True,422941,5590,0,500.0
29618_781,0,True,153089,3589,0,500.0
29851_717,0,True,3212947,18492,0,500.0
29854_602,0,False,916118,9741,0,0.0
29886_758,0,False,888528,10951,0,0.0
29895_725,0,True,2260579,17163,0,500.0
29900_697,0,True,886415,6997,0,500.0
29916_609,0,False,1069872,7532,0,0.0
30101_403,0,True,2575937,20906,0,500.0
